Cliente ID,Producto,Cantidad de litros,Fecha de entrega,Importancia de cliente,Fecha de ingreso
1,C,318,2024-12-01 00:00:00,6,2024-11-29 04:12:49.392815
2,F,319,2024-11-30 00:00:00,6,2024-11-29 04:12:49.393159
3,C,661,2024-12-01 00:00:00,3,2024-11-29 04:12:49.393445
4,H,396,2024-12-03 00:00:00,2,2024-11-29 04:12:49.394887
5,H,634,2024-12-03 00:00:00,8,2024-11-29 04:12:49.395143
6,A,363,2024-11-30 00:00:00,8,2024-11-29 04:12:49.395372
7,B,435,2024-11-30 00:00:00,5,2024-11-29 04:12:49.395610
8,A,523,2024-12-01 00:00:00,7,2024-11-29 04:12:49.395884
9,H,378,2024-12-04 00:00:00,10,2024-11-29 04:12:49.396107
10,C,737,2024-12-02 00:00:00,7,2024-11-29 04:12:49.396336
11,A,736,2024-12-02 00:00:00,9,2024-11-29 04:12:49.396555
12,B,502,2024-11-30 00:00:00,6,2024-11-29 04:12:49.396819
13,G,662,2024-11-30 00:00:00,6,2024-11-29 04:12:49.397059
14,D,374,2024-12-02 00:00:00,5,2024-11-29 04:12:49.397300
15,C,335,2024-12-01 00:00:00,4,2024-11-29 04:12:49.397544
16,F,303,2024-12-01 00:00:00,9,2024-11-29 04:12:49.397806
17,G,658,2024-11-30 00:00:00,7,2024-11-29 04:12:49.398042
18,F,307,2024-11-30 00:00:00,3,2024-11-29 04:12:49.398269
19,B,423,2024-11-30 00:00:00,7,2024-11-29 04:12:49.398495
20,D,303,2024-12-01 00:00:00,6,2024-11-29 04:12:49.398742
21,B,618,2024-12-01 00:00:00,8,2024-11-29 04:12:49.399001
22,A,582,2024-12-03 00:00:00,5,2024-11-29 04:12:49.399240
23,B,557,2024-12-04 00:00:00,9,2024-11-29 04:12:49.399487
24,A,322,2024-12-01 00:00:00,9,2024-11-29 04:12:49.399747
25,B,642,2024-11-30 00:00:00,2,2024-11-29 04:12:49.400034
26,C,477,2024-12-02 00:00:00,6,2024-11-29 04:12:49.400285
27,H,406,2024-12-01 00:00:00,1,2024-11-29 04:12:49.400527
28,E,765,2024-12-02 00:00:00,6,2024-11-29 04:12:49.400776
29,E,765,2024-12-02 00:00:00,6,2024-11-29 04:12:49.400997
30,E,330,2024-12-02 00:00:00,7,2024-11-29 04:12:49.401229
31,D,742,2024-11-30 00:00:00,3,2024-11-29 04:12:49.401399
32,E,572,2024-12-01 00:00:00,6,2024-11-29 04:12:49.401529
33,F,673,2024-11-30 00:00:00,4,2024-11-29 04:12:49.401649
34,F,796,2024-12-03 00:00:00,8,2024-11-29 04:12:49.401808
35,C,697,2024-11-30 00:00:00,5,2024-11-29 04:12:49.401962
36,D,672,2024-11-30 00:00:00,5,2024-11-29 04:12:49.402083
37,G,362,2024-12-02 00:00:00,4,2024-11-29 04:12:49.402222
38,C,393,2024-12-03 00:00:00,8,2024-11-29 04:12:49.402354
39,H,372,2024-12-01 00:00:00,7,2024-11-29 04:12:49.402475
40,A,790,2024-12-01 00:00:00,1,2024-11-29 04:12:49.402594
41,A,734,2024-12-01 00:00:00,9,2024-11-29 04:12:49.402710
42,A,656,2024-12-01 00:00:00,1,2024-11-29 04:12:49.402893
43,F,663,2024-12-02 00:00:00,7,2024-11-29 04:12:49.403023
44,G,433,2024-11-30 00:00:00,2,2024-11-29 04:12:49.403140
45,E,411,2024-11-30 00:00:00,6,2024-11-29 04:12:49.403255
46,B,399,2024-11-30 00:00:00,4,2024-11-29 04:12:49.403368
47,H,597,2024-12-02 00:00:00,4,2024-11-29 04:12:49.403489
48,B,745,2024-12-02 00:00:00,4,2024-11-29 04:12:49.403604
49,G,329,2024-12-01 00:00:00,2,2024-11-29 04:12:49.403726
50,E,379,2024-11-30 00:00:00,3,2024-11-29 04:12:49.403895
51,F,517,2024-11-30 00:00:00,10,2024-11-29 04:12:49.404020
52,C,503,2024-12-01 00:00:00,5,2024-11-29 04:12:49.404135
53,G,532,2024-12-01 00:00:00,3,2024-11-29 04:12:49.404247
54,D,669,2024-11-30 00:00:00,9,2024-11-29 04:12:49.404361
55,D,656,2024-11-30 00:00:00,3,2024-11-29 04:12:49.404476
56,B,506,2024-12-02 00:00:00,5,2024-11-29 04:12:49.404592
57,H,406,2024-11-30 00:00:00,6,2024-11-29 04:12:49.404724
58,A,423,2024-11-30 00:00:00,9,2024-11-29 04:12:49.404899
59,C,401,2024-12-02 00:00:00,10,2024-11-29 04:12:49.405025
60,F,459,2024-11-30 00:00:00,3,2024-11-29 04:12:49.405144
