Cliente ID,Producto,Cantidad de litros,Fecha de entrega,Importancia de cliente,Fecha de ingreso
1,F,131,2024-12-04 00:00:00,5,2024-11-29 03:54:02.863283
2,E,128,2024-12-02 00:00:00,2,2024-11-29 03:54:02.863528
3,C,286,2024-12-06 00:00:00,5,2024-11-29 03:54:02.863733
4,H,310,2024-12-05 00:00:00,9,2024-11-29 03:54:02.863951
5,A,357,2024-12-03 00:00:00,1,2024-11-29 03:54:02.864141
6,B,245,2024-12-01 00:00:00,10,2024-11-29 03:54:02.864325
7,D,172,2024-12-02 00:00:00,1,2024-11-29 03:54:02.864522
8,B,268,2024-12-06 00:00:00,2,2024-11-29 03:54:02.864708
9,G,314,2024-12-05 00:00:00,1,2024-11-29 03:54:02.864913
10,G,296,2024-12-06 00:00:00,8,2024-11-29 03:54:02.865096
11,F,254,2024-12-06 00:00:00,1,2024-11-29 03:54:02.865279
12,D,121,2024-12-05 00:00:00,7,2024-11-29 03:54:02.865457
13,A,320,2024-12-05 00:00:00,1,2024-11-29 03:54:02.865653
14,D,365,2024-12-06 00:00:00,3,2024-11-29 03:54:02.865852
15,E,215,2024-12-03 00:00:00,7,2024-11-29 03:54:02.866041
16,B,393,2024-12-06 00:00:00,7,2024-11-29 03:54:02.866224
17,F,97,2024-12-04 00:00:00,10,2024-11-29 03:54:02.866403
18,B,290,2024-12-02 00:00:00,1,2024-11-29 03:54:02.866597
19,A,225,2024-12-05 00:00:00,2,2024-11-29 03:54:02.866810
20,E,228,2024-12-03 00:00:00,9,2024-11-29 03:54:02.867006
